iter	Passed	Remaining
0	136	135993
1	139	69488
2	142	47200
3	147	36700
4	149	29676
5	152	25313
6	157	22383
7	160	19919
8	162	17882
9	164	16290
10	166	14974
11	169	13938
12	173	13185
13	176	12455
14	182	11979
15	185	11385
16	187	10867
17	193	10578
18	196	10155
19	200	9814
20	204	9538
21	206	9185
22	209	8900
23	210	8579
24	213	8344
25	216	8105
26	217	7855
27	220	7643
28	223	7476
29	226	7311
30	228	7152
31	232	7027
32	237	6957
33	240	6832
34	247	6811
35	248	6662
36	254	6614
37	256	6495
38	260	6426
39	264	6356
40	267	6263
41	270	6166
42	271	6051
43	273	5951
44	276	5868
45	279	5799
46	281	5701
47	284	5648
48	291	5659
49	299	5682
50	308	5738
51	320	5848
52	323	5771
53	325	5705
54	328	5639
55	331	5590
56	334	5526
57	338	5496
58	341	5452
59	345	5410
60	348	5359
61	352	5329
62	353	5258
63	354	5186
64	355	5118
65	362	5128
66	370	5162
67	376	5164
68	382	5163
69	388	5164
70	392	5133
71	394	5084
72	405	5151
73	408	5114
74	410	5062
75	418	5090
76	423	5076
77	433	5120
78	436	5084
79	438	5048
80	450	5110
81	456	5113
82	458	5069
83	461	5032
84	465	5012
85	478	5084
86	479	5036
87	491	5093
88	494	5056
89	501	5066
90	502	5019
91	504	4979
92	513	5012
93	530	5112
94	543	5175
95	545	5132
96	563	5248
97	583	5373
98	596	5433
99	599	5398
100	614	5469
101	626	5513
102	639	5569
103	656	5657
104	662	5650
105	668	5642
106	680	5676
107	687	5676
108	694	5676
109	699	5660
110	705	5646
111	713	5656
112	715	5615
113	722	5615
114	732	5634
115	738	5631
116	744	5619
117	751	5616
118	753	5580
119	760	5577
120	764	5554
121	765	5511
122	776	5533
123	777	5496
124	781	5473
125	782	5431
126	788	5422
127	794	5415
128	799	5399
129	807	5406
130	812	5392
131	817	5373
132	824	5375
133	835	5400
134	842	5401
135	848	5391
136	855	5390
137	859	5371
138	865	5360
139	872	5361
140	880	5362
141	885	5349
142	893	5352
143	898	5340
144	904	5336
145	915	5357
146	923	5358
147	931	5362
148	939	5368
149	944	5351
150	952	5355
151	958	5346
152	961	5323
153	968	5321
154	971	5297
155	973	5264
156	975	5237
157	979	5219
158	983	5202
159	987	5182
160	989	5156
161	995	5149
162	1005	5161
163	1007	5134
164	1012	5121
165	1017	5112
166	1027	5127
167	1043	5169
168	1056	5193
169	1070	5225
170	1075	5215
171	1078	5194
172	1091	5218
173	1094	5196
174	1100	5189
175	1105	5178
176	1117	5197
177	1120	5175
178	1134	5203
179	1138	5188
180	1150	5204
181	1154	5189
182	1167	5214
183	1176	5217
184	1182	5208
185	1184	5181
186	1185	5156
187	1187	5129
188	1194	5125
189	1197	5103
190	1199	5078
191	1201	5055
192	1207	5050
193	1213	5043
194	1215	5019
195	1219	5001
196	1221	4979
197	1224	4958
198	1226	4935
199	1227	4908
200	1231	4895
201	1233	4873
202	1236	4855
203	1241	4846
204	1249	4844
205	1251	4821
206	1253	4802
207	1258	4792
208	1263	4781
209	1265	4760
210	1271	4756
211	1279	4756
212	1281	4735
213	1285	4723
214	1289	4707
215	1293	4693
216	1296	4679
217	1301	4668
218	1303	4647
219	1306	4633
220	1308	4613
221	1311	4595
222	1313	4576
223	1316	4559
224	1318	4542
225	1322	4530
226	1325	4512
227	1333	4513
228	1339	4510
229	1341	4492
230	1346	4483
231	1350	4471
232	1354	4459
233	1358	4445
234	1361	4433
235	1364	4418
236	1368	4404
237	1371	4390
238	1373	4372
239	1376	4360
240	1378	4341
241	1381	4327
242	1383	4310
243	1385	4293
244	1393	4293
245	1394	4274
246	1400	4268
247	1401	4250
248	1402	4231
249	1403	4210
250	1405	4192
251	1407	4177
252	1410	4163
253	1414	4153
254	1417	4141
255	1419	4126
256	1422	4112
257	1424	4095
258	1428	4087
259	1430	4070
260	1431	4054
261	1433	4038
262	1436	4026
263	1439	4013
264	1442	4000
265	1444	3985
266	1449	3979
267	1451	3964
268	1454	3952
269	1460	3947
270	1463	3935
271	1466	3925
272	1470	3914
273	1473	3904
274	1478	3897
275	1481	3886
276	1485	3876
277	1487	3863
278	1489	3849
279	1490	3833
280	1492	3818
281	1493	3803
282	1497	3794
283	1500	3783
284	1504	3773
285	1509	3769
286	1514	3762
287	1517	3751
288	1519	3739
289	1520	3723
290	1524	3713
291	1526	3701
292	1529	3689
293	1532	3680
294	1535	3668
295	1537	3656
296	1538	3642
297	1547	3644
298	1550	3635
299	1553	3623
300	1555	3612
301	1558	3601
302	1564	3599
303	1567	3589
304	1571	3581
